Men,Women,VotingAgeCitizen,IncomePerCap,Poverty,Professional,Service,Unemployment,Hispanic,White,Black,Asian,Native,Pacific,Income,Employed
2406,2972,3609,28457,14.5,29.1,19.1,9.8,21.4,41.4,29.5,2.5,0.3,0.0,44002,3783
2248,2347,2820,24852,17.6,32.5,30.8,7.2,21.4,9.9,60.5,2.4,0.0,0.0,48266,2335
2878,3716,4727,18609,7.2,24.1,23.3,9.7,70.3,22.7,5.0,0.7,0.0,0.0,52679,3176
1401,1433,2167,24040,18.1,18.9,17.7,9.3,0.8,90.6,3.8,1.8,0.0,0.0,37534,1249
2292,2016,2279,21099,15.6,16.7,16.8,4.6,47.2,50.3,1.5,0.0,0.7,0.1,46550,2120
1361,1129,2035,21519,23.7,23.6,17.6,15.2,7.7,77.4,5.6,1.5,3.8,0.0,36991,1091
3602,3734,5317,47062,4.1,47.9,15.9,2.8,13.3,83.6,0.8,0.9,0.0,0.0,105313,3924
1551,1453,2058,21919,6.1,23.0,26.6,5.8,25.2,59.1,11.3,0.0,0.0,0.0,49123,1506
1762,2125,2605,30801,14.8,45.2,20.6,7.3,8.1,77.6,7.4,0.4,0.0,0.0,51431,1932
1912,1865,2203,15436,39.3,10.7,35.4,10.4,52.1,13.0,33.7,0.0,0.0,0.0,19746,1544
1753,1705,2612,35969,4.0,34.2,13.1,4.0,4.3,93.5,0.0,0.6,0.0,0.0,83682,1852
6297,4986,7708,27721,9.1,43.4,12.2,3.4,15.0,52.0,24.5,5.4,0.0,0.2,79234,4553
1536,1338,1970,30237,20.4,37.1,19.7,9.0,8.0,8.2,75.8,4.5,1.3,0.0,40357,1407
2148,2091,3069,34570,7.5,58.3,12.0,3.9,6.1,45.0,34.3,5.4,0.7,0.0,74396,2170
1667,1526,2528,28961,8.7,28.4,14.8,5.3,1.4,96.4,0.1,0.0,0.0,0.0,60644,1470
3276,3424,4933,51376,2.3,56.2,11.0,5.4,3.1,85.9,2.4,6.4,0.0,0.0,128339,3744
1663,2166,3315,24629,12.3,31.4,28.9,6.4,1.3,93.7,0.7,0.0,0.0,0.0,40633,1295
1758,1710,2521,20397,19.7,23.5,35.3,7.1,11.0,82.3,1.8,1.2,0.5,0.0,48873,1375
1290,1601,1345,10298,51.4,24.8,26.2,15.3,12.3,9.0,70.6,1.9,0.0,0.0,21040,922
2753,2682,3430,45965,6.1,64.3,13.2,4.8,11.6,29.9,1.9,52.3,0.2,0.0,86250,2355
4351,3039,5915,13663,33.6,28.0,12.2,15.6,2.6,88.9,7.8,0.0,0.1,0.1,31391,1462
778,1260,1767,59605,5.2,46.4,14.7,1.5,0.9,99.0,0.1,0.0,0.0,0.0,80577,714
1586,1640,1403,13072,32.5,15.2,28.4,7.4,90.0,3.3,4.6,0.6,0.7,0.2,31786,1251
2327,2372,3157,23504,9.6,43.9,12.1,3.4,69.6,17.4,8.6,1.9,0.0,0.0,80057,2373
2383,2478,3599,31043,11.2,29.0,20.3,5.4,13.8,83.2,2.1,0.0,0.0,0.0,66827,2494
